Location,Size (sqft),BHK,Bathrooms,Price (INR),Property Type,Age of Property (years),Furnishing Status,Transaction Type,Floor Number,Total Floors,Parking,Nearby Amenity
Kolhapur,4073,3,1,13500000,Independent House,9,Unfurnished,New Booking,22,26,0,Gym
Nashik,3946,2,1,26600000,Independent House,11,Semi-furnished,New Booking,27,38,1,Mall Nearby
Nashik,4409,1,3,44300000,Independent House,12,Unfurnished,Resale,21,32,1,School Nearby
Mumbai,2347,3,1,44100000,Studio Apartment,6,Unfurnished,New Booking,2,25,0,Swimming Pool
Nashik,1638,4,2,4200000,Apartment,22,Furnished,New Booking,1,21,3,Swimming Pool
Sangli,1382,4,3,18400000,Apartment,29,Furnished,Resale,3,5,3,School Nearby
Amravati,3644,1,3,35700000,Penthouse,1,Semi-furnished,New Booking,18,25,3,Swimming Pool
Thane,2938,5,1,7800000,Villa,13,Unfurnished,New Booking,5,12,1,Park
Pune,4832,2,2,17600000,Independent House,4,Semi-furnished,Resale,25,40,2,Swimming Pool
Sangli,4274,5,2,12900000,Studio Apartment,26,Semi-furnished,Resale,24,24,1,Hospital Nearby
Solapur,1799,2,2,14900000,Studio Apartment,18,Semi-furnished,New Booking,4,23,2,Mall Nearby
Sangli,1531,3,4,20700000,Villa,23,Furnished,New Booking,22,37,1,Park
Solapur,1278,2,4,22100000,Studio Apartment,1,Semi-furnished,New Booking,21,25,1,Mall Nearby
Sangli,1248,2,4,48200000,Apartment,25,Semi-furnished,New Booking,30,40,1,School Nearby
Sangli,1819,2,3,30900000,Studio Apartment,14,Furnished,New Booking,14,27,3,School Nearby
Nashik,1330,5,4,11400000,Apartment,10,Unfurnished,New Booking,1,13,3,Gym
Solapur,1116,2,1,45700000,Studio Apartment,19,Furnished,Resale,23,28,0,Swimming Pool
Aurangabad,4872,1,4,39600000,Studio Apartment,18,Unfurnished,New Booking,26,32,2,Hospital Nearby
Aurangabad,714,5,2,8100000,Apartment,27,Unfurnished,New Booking,13,17,3,Park
Solapur,3819,1,3,28500000,Penthouse,15,Unfurnished,New Booking,28,39,0,Hospital Nearby
Amravati,3420,2,4,47700000,Villa,12,Semi-furnished,Resale,7,31,3,Hospital Nearby
Amravati,3049,2,2,22900000,Apartment,17,Semi-furnished,New Booking,29,32,0,School Nearby
Nashik,3882,1,1,20700000,Apartment,0,Semi-furnished,New Booking,17,24,3,School Nearby
Amravati,1516,1,1,44100000,Independent House,5,Unfurnished,New Booking,6,38,1,School Nearby
Thane,4859,2,1,44800000,Villa,4,Unfurnished,New Booking,28,32,3,Hospital Nearby
Thane,413,1,4,49700000,Villa,5,Semi-furnished,New Booking,21,35,0,Mall Nearby
Kolhapur,2422,4,4,9400000,Villa,14,Unfurnished,New Booking,16,40,2,School Nearby
Aurangabad,4988,3,1,2200000,Villa,11,Unfurnished,New Booking,20,28,0,Gym
Nashik,1312,1,2,43100000,Villa,23,Furnished,Resale,29,37,2,Swimming Pool
Mumbai,1181,1,1,49100000,Villa,29,Semi-furnished,New Booking,9,24,0,Swimming Pool
Solapur,3452,3,1,35600000,Independent House,25,Furnished,Resale,28,38,3,Gym
Sangli,4964,2,2,37800000,Studio Apartment,6,Unfurnished,Resale,18,34,2,School Nearby
Kolhapur,2478,1,3,9000000,Penthouse,15,Unfurnished,New Booking,28,33,3,Park
Aurangabad,4812,5,1,8900000,Studio Apartment,20,Semi-furnished,New Booking,26,29,0,Hospital Nearby
Nashik,2752,3,1,21800000,Penthouse,30,Furnished,New Booking,7,25,3,Hospital Nearby
Sangli,4891,5,2,24400000,Apartment,5,Semi-furnished,Resale,22,28,0,Hospital Nearby
Nashik,4817,1,1,37900000,Independent House,17,Furnished,Resale,7,18,0,Hospital Nearby
Sangli,348,5,4,19000000,Penthouse,18,Semi-furnished,New Booking,23,30,0,Gym
Solapur,1085,3,1,5200000,Studio Apartment,29,Unfurnished,New Booking,27,40,3,Mall Nearby
Amravati,1545,1,3,48400000,Studio Apartment,5,Semi-furnished,New Booking,23,38,0,Park
Pune,2719,5,4,7600000,Studio Apartment,12,Furnished,Resale,8,20,0,Gym
Nashik,4441,3,1,23000000,Penthouse,15,Semi-furnished,Resale,11,37,2,Gym
Amravati,2293,3,2,19800000,Apartment,22,Semi-furnished,New Booking,1,27,3,Mall Nearby
Amravati,3853,5,3,36500000,Penthouse,18,Unfurnished,Resale,11,32,3,Swimming Pool
Nashik,308,4,1,21700000,Villa,12,Semi-furnished,Resale,13,22,2,Hospital Nearby
Nagpur,1031,5,1,17200000,Apartment,28,Unfurnished,New Booking,26,27,3,Gym
Kolhapur,4578,2,2,21800000,Studio Apartment,28,Unfurnished,Resale,11,11,1,Swimming Pool
Thane,4486,2,1,22900000,Villa,19,Unfurnished,Resale,19,23,3,Mall Nearby
Nashik,1537,2,4,41000000,Apartment,7,Furnished,New Booking,20,34,1,Park
Kolhapur,4634,2,2,2500000,Penthouse,10,Furnished,New Booking,14,18,2,Mall Nearby
Solapur,3215,5,1,12900000,Independent House,27,Semi-furnished,New Booking,10,31,0,Gym
Nashik,3296,2,1,48700000,Villa,26,Unfurnished,New Booking,7,14,3,School Nearby
Solapur,2693,4,3,48700000,Villa,14,Unfurnished,New Booking,3,18,1,Hospital Nearby
Kolhapur,4037,3,4,1400000,Apartment,5,Semi-furnished,New Booking,10,38,2,Mall Nearby
Kolhapur,485,1,2,44000000,Villa,28,Semi-furnished,Resale,1,2,2,Gym
Amravati,3085,1,2,4100000,Penthouse,25,Furnished,Resale,7,40,3,Gym
Aurangabad,3650,3,4,37500000,Apartment,0,Furnished,Resale,12,29,0,Gym
Amravati,3331,4,1,31800000,Penthouse,18,Furnished,New Booking,29,29,0,Mall Nearby
Thane,3018,1,1,6400000,Apartment,25,Semi-furnished,New Booking,12,34,2,School Nearby
Aurangabad,2135,5,2,7500000,Independent House,28,Semi-furnished,Resale,17,39,1,School Nearby
Pune,4315,2,1,13000000,Studio Apartment,7,Unfurnished,Resale,12,29,3,School Nearby
Thane,4900,2,2,4100000,Independent House,19,Semi-furnished,New Booking,20,26,0,Park
Pune,1015,5,2,7400000,Studio Apartment,1,Furnished,Resale,8,23,0,Hospital Nearby
Amravati,1459,4,4,39700000,Penthouse,15,Unfurnished,New Booking,1,24,0,Hospital Nearby
Solapur,862,5,2,6000000,Studio Apartment,24,Semi-furnished,New Booking,19,20,2,School Nearby
Kolhapur,3789,2,1,5400000,Studio Apartment,3,Unfurnished,Resale,21,39,1,Swimming Pool
Solapur,4968,4,1,19900000,Villa,18,Semi-furnished,Resale,18,30,0,Mall Nearby
Kolhapur,1609,4,3,29100000,Studio Apartment,23,Semi-furnished,Resale,29,33,3,Gym
Nagpur,1186,4,4,8800000,Studio Apartment,15,Semi-furnished,New Booking,16,25,1,Swimming Pool
Aurangabad,343,4,4,5700000,Apartment,14,Semi-furnished,New Booking,25,37,1,Park
Kolhapur,4315,3,4,31400000,Penthouse,16,Unfurnished,Resale,10,37,3,Hospital Nearby
Amravati,926,2,1,1000000,Apartment,12,Semi-furnished,Resale,25,29,1,Mall Nearby
Amravati,1050,3,1,20100000,Villa,29,Semi-furnished,New Booking,4,20,2,Swimming Pool
Pune,3786,2,1,6800000,Apartment,25,Furnished,Resale,13,29,2,Gym
Nagpur,2934,2,1,13600000,Independent House,11,Unfurnished,New Booking,1,10,3,Mall Nearby
Amravati,4235,4,2,35100000,Independent House,4,Semi-furnished,New Booking,1,14,0,Park
Kolhapur,3218,5,4,5000000,Penthouse,8,Unfurnished,New Booking,8,17,0,Gym
Thane,1676,3,1,33800000,Apartment,14,Furnished,New Booking,1,5,3,Swimming Pool
Amravati,540,2,1,36200000,Apartment,25,Unfurnished,Resale,6,33,2,Hospital Nearby
Nashik,3667,1,3,47500000,Independent House,28,Unfurnished,Resale,4,35,0,Gym
Nashik,1933,2,2,22100000,Villa,3,Furnished,New Booking,19,39,2,Mall Nearby
Sangli,2605,4,4,12400000,Studio Apartment,30,Furnished,New Booking,5,25,0,Mall Nearby
Solapur,1190,4,1,4300000,Apartment,2,Furnished,Resale,5,29,2,School Nearby
Amravati,3142,3,2,27700000,Studio Apartment,30,Unfurnished,Resale,3,35,2,Park
Thane,4026,5,2,16100000,Independent House,2,Semi-furnished,New Booking,26,30,2,School Nearby
Sangli,3979,4,3,41300000,Apartment,23,Furnished,New Booking,7,24,2,Hospital Nearby
Amravati,1207,5,1,42600000,Apartment,3,Furnished,New Booking,29,33,3,School Nearby
Pune,3533,3,1,25200000,Penthouse,0,Furnished,New Booking,7,19,1,Park
Sangli,4539,1,2,17100000,Penthouse,16,Unfurnished,Resale,10,18,0,Hospital Nearby
Mumbai,397,5,4,41500000,Independent House,6,Semi-furnished,Resale,21,39,1,Mall Nearby
Sangli,3406,2,1,34000000,Studio Apartment,28,Furnished,Resale,22,33,0,Gym
Solapur,1221,5,3,1100000,Penthouse,10,Unfurnished,New Booking,15,23,1,Mall Nearby
Amravati,4130,3,4,24700000,Villa,14,Furnished,Resale,16,18,3,Swimming Pool
Solapur,4917,3,1,11900000,Independent House,30,Semi-furnished,Resale,9,39,3,Gym
Aurangabad,4256,3,1,44700000,Villa,11,Furnished,New Booking,20,26,3,Hospital Nearby
Nagpur,3003,2,4,4400000,Independent House,15,Unfurnished,New Booking,2,22,2,School Nearby
Sangli,3475,2,4,31000000,Studio Apartment,25,Furnished,Resale,5,15,0,Hospital Nearby
Solapur,3090,3,4,18300000,Penthouse,18,Unfurnished,Resale,19,38,2,Swimming Pool
Nashik,2033,5,3,30200000,Villa,16,Semi-furnished,Resale,16,32,2,Gym
Nagpur,1873,1,4,1700000,Apartment,16,Unfurnished,Resale,5,15,0,Gym
Kolhapur,1272,1,2,37000000,Apartment,30,Unfurnished,New Booking,9,37,3,Hospital Nearby
Amravati,4236,5,4,21000000,Studio Apartment,1,Furnished,Resale,24,25,1,Mall Nearby
Thane,3845,3,3,45000000,Independent House,1,Unfurnished,Resale,21,39,1,School Nearby
Amravati,4431,3,3,18700000,Studio Apartment,29,Unfurnished,Resale,17,30,0,School Nearby
Sangli,3942,5,1,32900000,Apartment,21,Furnished,Resale,30,31,0,Mall Nearby
Kolhapur,2190,1,1,12400000,Studio Apartment,24,Unfurnished,New Booking,18,18,3,Swimming Pool
Mumbai,3518,3,1,16600000,Studio Apartment,26,Furnished,Resale,17,28,2,Park
Nagpur,1798,4,4,22800000,Apartment,11,Unfurnished,Resale,7,27,2,Mall Nearby
Nagpur,1399,5,1,11500000,Apartment,1,Semi-furnished,New Booking,28,33,3,Mall Nearby
Kolhapur,4526,5,3,48000000,Villa,3,Furnished,New Booking,3,33,0,Gym
Amravati,583,3,4,1100000,Studio Apartment,2,Unfurnished,New Booking,21,29,0,Mall Nearby
Solapur,889,1,4,22500000,Penthouse,12,Unfurnished,New Booking,8,19,3,Mall Nearby
Nagpur,998,3,3,19700000,Independent House,21,Furnished,New Booking,12,27,1,Park
Mumbai,2536,5,2,43300000,Villa,13,Semi-furnished,New Booking,26,40,2,Swimming Pool
Mumbai,3649,5,3,30900000,Studio Apartment,21,Semi-furnished,New Booking,7,25,0,Gym
Pune,1885,4,2,46200000,Penthouse,7,Semi-furnished,Resale,19,27,2,Park
Sangli,424,2,4,22600000,Apartment,4,Furnished,Resale,13,33,2,Mall Nearby
Amravati,1161,2,3,29100000,Villa,27,Furnished,Resale,6,11,3,Park
Nashik,4075,1,4,37100000,Penthouse,27,Semi-furnished,New Booking,27,34,2,Hospital Nearby
Kolhapur,560,3,3,46000000,Penthouse,17,Furnished,New Booking,29,39,3,Mall Nearby
Mumbai,1486,2,4,10200000,Studio Apartment,27,Semi-furnished,Resale,1,27,2,Mall Nearby
Mumbai,4284,5,2,36000000,Independent House,9,Furnished,Resale,14,31,2,Hospital Nearby
Solapur,3670,2,1,7600000,Studio Apartment,29,Semi-furnished,New Booking,26,29,2,School Nearby
Thane,4897,5,1,46100000,Studio Apartment,0,Unfurnished,Resale,1,31,0,Swimming Pool
Kolhapur,2573,2,3,3800000,Apartment,21,Unfurnished,Resale,24,36,3,Mall Nearby
Aurangabad,2405,1,3,28000000,Independent House,0,Unfurnished,Resale,23,30,3,Swimming Pool
Nagpur,3441,2,1,48700000,Independent House,29,Semi-furnished,Resale,16,27,0,Mall Nearby
Sangli,4057,4,1,14400000,Apartment,3,Semi-furnished,New Booking,19,24,3,Hospital Nearby
Kolhapur,4830,3,1,16700000,Studio Apartment,30,Semi-furnished,Resale,13,15,3,Hospital Nearby
Pune,2707,3,4,6900000,Apartment,18,Unfurnished,Resale,10,23,0,Gym
Mumbai,4306,1,3,16800000,Independent House,13,Semi-furnished,New Booking,21,39,1,Hospital Nearby
Thane,1351,2,4,50000000,Apartment,24,Unfurnished,Resale,17,19,3,Mall Nearby
Solapur,3761,4,2,25300000,Villa,0,Semi-furnished,Resale,16,26,0,Park
Kolhapur,3761,2,4,30500000,Studio Apartment,0,Unfurnished,New Booking,16,22,1,Swimming Pool
Mumbai,4741,1,3,28000000,Studio Apartment,18,Furnished,Resale,30,36,3,Gym
Aurangabad,4442,5,4,6700000,Independent House,30,Furnished,New Booking,29,30,0,Swimming Pool
Nashik,2731,5,1,12200000,Apartment,12,Furnished,New Booking,3,30,3,Mall Nearby
Sangli,1857,4,1,3200000,Villa,28,Unfurnished,New Booking,3,18,0,Gym
Nagpur,2054,4,3,7700000,Apartment,28,Unfurnished,Resale,16,19,0,School Nearby
Kolhapur,3297,2,4,12100000,Penthouse,27,Furnished,New Booking,4,33,3,Gym
Nagpur,4918,1,1,29000000,Studio Apartment,25,Unfurnished,New Booking,29,39,1,Mall Nearby
Nashik,1133,4,3,5300000,Penthouse,24,Furnished,Resale,30,36,2,School Nearby
Amravati,1044,2,3,26600000,Independent House,9,Furnished,New Booking,21,29,3,Park
Amravati,1077,4,4,13700000,Apartment,11,Semi-furnished,Resale,6,8,1,Swimming Pool
Pune,1285,1,4,18600000,Villa,24,Unfurnished,Resale,27,35,0,Swimming Pool
Pune,2536,3,4,27100000,Penthouse,10,Semi-furnished,New Booking,9,10,3,Gym
Sangli,3776,3,1,5000000,Studio Apartment,15,Semi-furnished,New Booking,25,35,0,Swimming Pool
Nagpur,1223,2,3,10600000,Penthouse,15,Semi-furnished,New Booking,8,20,2,Mall Nearby
Mumbai,2136,5,2,44500000,Penthouse,4,Unfurnished,Resale,21,28,3,Swimming Pool
Nagpur,2821,4,1,19600000,Penthouse,17,Unfurnished,Resale,14,14,3,Mall Nearby
Amravati,1561,3,1,41400000,Independent House,17,Semi-furnished,Resale,7,8,1,Hospital Nearby
Kolhapur,1817,2,2,38400000,Studio Apartment,10,Furnished,Resale,29,33,1,Mall Nearby
Kolhapur,3112,1,2,11300000,Penthouse,12,Semi-furnished,Resale,29,38,1,Gym
Nashik,2539,1,2,15900000,Independent House,2,Unfurnished,Resale,19,40,3,Hospital Nearby
Aurangabad,1000,4,3,18400000,Penthouse,12,Unfurnished,New Booking,5,21,0,Park
Nashik,3144,3,1,43800000,Studio Apartment,13,Semi-furnished,New Booking,15,39,1,Park
Sangli,3826,2,2,5800000,Penthouse,26,Furnished,Resale,1,28,2,Swimming Pool
Mumbai,3685,1,3,50000000,Studio Apartment,17,Unfurnished,New Booking,24,24,0,Hospital Nearby
Nagpur,1305,5,2,38300000,Villa,26,Unfurnished,New Booking,29,39,3,Mall Nearby
Aurangabad,4524,4,3,39900000,Independent House,17,Semi-furnished,New Booking,13,31,1,Park
Solapur,3111,4,2,42500000,Penthouse,29,Unfurnished,New Booking,21,35,0,Swimming Pool
Aurangabad,4143,4,4,37300000,Apartment,15,Unfurnished,New Booking,27,30,2,School Nearby
Nagpur,4887,3,4,9600000,Studio Apartment,15,Furnished,Resale,6,9,2,Gym
Aurangabad,4266,1,4,17700000,Apartment,26,Unfurnished,New Booking,15,23,2,School Nearby
Aurangabad,1581,3,3,38800000,Studio Apartment,20,Semi-furnished,New Booking,29,30,0,Gym
Thane,3081,5,2,32600000,Villa,29,Semi-furnished,New Booking,27,35,0,Park
Solapur,2649,4,2,3200000,Studio Apartment,1,Semi-furnished,Resale,27,37,2,Mall Nearby
Nashik,1863,1,1,30100000,Villa,4,Unfurnished,New Booking,25,33,0,Mall Nearby
Sangli,4787,4,1,21200000,Villa,0,Furnished,New Booking,13,15,0,Park
Mumbai,395,2,4,3500000,Villa,30,Furnished,New Booking,22,25,1,Swimming Pool
Nashik,4797,5,3,16600000,Studio Apartment,8,Furnished,Resale,23,33,3,School Nearby
Mumbai,3085,1,2,24600000,Penthouse,13,Semi-furnished,Resale,28,33,3,Swimming Pool
Nagpur,2720,3,2,39900000,Villa,14,Unfurnished,New Booking,15,40,3,Gym
Kolhapur,4480,2,3,19200000,Apartment,10,Unfurnished,New Booking,9,16,0,Mall Nearby
Sangli,1806,2,3,44500000,Penthouse,22,Semi-furnished,New Booking,11,30,2,Park
Nashik,4034,5,1,3100000,Independent House,12,Unfurnished,Resale,1,24,0,Gym
Pune,4729,2,2,25000000,Penthouse,18,Unfurnished,Resale,7,32,0,Park
Solapur,4569,5,1,47800000,Villa,9,Unfurnished,New Booking,1,25,2,Mall Nearby
Mumbai,4098,5,2,26000000,Villa,16,Unfurnished,Resale,25,31,0,Gym
Solapur,2644,2,3,48500000,Penthouse,23,Unfurnished,New Booking,4,10,2,Hospital Nearby
Thane,2897,2,2,12600000,Penthouse,14,Furnished,Resale,26,32,3,Park
Nashik,3205,2,1,37300000,Penthouse,14,Furnished,Resale,27,36,2,Park
Thane,2191,4,4,1300000,Villa,16,Semi-furnished,Resale,15,39,2,Mall Nearby
Aurangabad,2741,4,4,28800000,Studio Apartment,1,Unfurnished,Resale,17,25,0,Swimming Pool
Pune,3556,3,1,27400000,Penthouse,2,Unfurnished,New Booking,22,36,3,Hospital Nearby
Sangli,3776,4,4,34500000,Villa,1,Semi-furnished,New Booking,5,25,3,Mall Nearby
Aurangabad,1180,1,1,33400000,Villa,0,Semi-furnished,Resale,25,33,1,School Nearby
Solapur,4744,5,2,9400000,Independent House,2,Semi-furnished,Resale,24,34,3,Mall Nearby
Mumbai,931,1,3,25300000,Villa,17,Unfurnished,New Booking,19,20,0,School Nearby
Kolhapur,3117,4,4,46900000,Apartment,14,Furnished,New Booking,27,36,2,Park
Kolhapur,2963,3,1,47000000,Independent House,28,Semi-furnished,Resale,10,18,2,Mall Nearby
Sangli,3497,3,4,45100000,Independent House,9,Unfurnished,Resale,8,33,0,Gym
Solapur,1910,1,1,15700000,Apartment,27,Furnished,Resale,4,7,1,School Nearby
Thane,4443,3,2,38000000,Independent House,4,Furnished,Resale,6,7,1,Mall Nearby
Aurangabad,3469,4,3,29700000,Apartment,7,Furnished,New Booking,27,29,1,School Nearby
Solapur,4831,3,1,32000000,Studio Apartment,2,Furnished,New Booking,29,39,2,Park
Pune,1943,1,1,3500000,Villa,20,Furnished,New Booking,26,32,2,Mall Nearby
Nashik,3323,2,3,14100000,Independent House,30,Semi-furnished,New Booking,21,23,0,School Nearby
Solapur,1609,3,1,1400000,Villa,26,Unfurnished,New Booking,10,10,2,Mall Nearby
Amravati,3957,2,3,28100000,Villa,24,Unfurnished,New Booking,24,25,1,Swimming Pool
Aurangabad,3448,4,1,28600000,Penthouse,3,Semi-furnished,New Booking,24,35,2,Gym
Amravati,4732,3,2,47400000,Penthouse,14,Semi-furnished,New Booking,20,27,0,Hospital Nearby
Sangli,1999,4,3,31400000,Independent House,5,Unfurnished,New Booking,20,24,2,Gym
Nashik,2149,2,2,12900000,Villa,25,Semi-furnished,Resale,29,34,2,Gym
Amravati,2800,5,2,36800000,Penthouse,29,Furnished,New Booking,7,33,1,Hospital Nearby
Nashik,4178,2,3,35700000,Studio Apartment,29,Furnished,Resale,9,13,2,Mall Nearby
Amravati,2109,1,2,24800000,Apartment,4,Semi-furnished,New Booking,16,25,3,Swimming Pool
Sangli,326,4,3,34400000,Penthouse,21,Furnished,New Booking,11,15,2,Mall Nearby
Solapur,4588,2,1,12300000,Penthouse,17,Semi-furnished,Resale,3,29,2,Park
Amravati,2077,1,1,34500000,Independent House,1,Unfurnished,Resale,24,37,2,School Nearby
Pune,855,1,3,37000000,Studio Apartment,30,Unfurnished,Resale,27,33,3,Swimming Pool
Nashik,1311,5,2,7300000,Independent House,0,Semi-furnished,New Booking,4,5,1,Hospital Nearby
Sangli,1333,1,3,21800000,Studio Apartment,13,Unfurnished,Resale,29,35,2,Swimming Pool
Solapur,515,4,2,47700000,Penthouse,22,Unfurnished,New Booking,29,40,2,Gym
Thane,2473,2,3,18700000,Apartment,25,Semi-furnished,Resale,30,34,3,Hospital Nearby
Kolhapur,1170,4,2,36400000,Penthouse,11,Semi-furnished,Resale,26,29,3,Gym
Pune,2150,2,4,45500000,Studio Apartment,1,Semi-furnished,Resale,17,17,0,Mall Nearby
Pune,3976,3,1,49200000,Penthouse,6,Unfurnished,Resale,19,32,2,Gym
Sangli,4992,4,1,31600000,Apartment,29,Unfurnished,Resale,19,23,2,Hospital Nearby
Amravati,4191,5,2,4200000,Penthouse,18,Unfurnished,Resale,11,34,0,Swimming Pool
Solapur,2113,4,4,21500000,Apartment,26,Furnished,Resale,28,28,3,Park
Nashik,2567,5,3,24800000,Independent House,24,Semi-furnished,New Booking,9,37,0,Hospital Nearby
Nagpur,769,3,1,27800000,Independent House,5,Semi-furnished,Resale,20,30,0,School Nearby
Nashik,3920,2,1,4400000,Independent House,15,Furnished,Resale,20,30,2,Hospital Nearby
Pune,1256,5,2,19700000,Villa,25,Unfurnished,Resale,4,6,2,Gym
Nashik,1681,4,1,20400000,Independent House,24,Furnished,Resale,22,22,0,Park
Amravati,2650,4,4,40000000,Apartment,9,Furnished,Resale,21,25,0,School Nearby
Nashik,1169,1,1,35800000,Apartment,28,Unfurnished,New Booking,29,32,2,Swimming Pool
Mumbai,2588,1,4,48400000,Apartment,26,Furnished,Resale,30,36,2,Swimming Pool
Thane,3410,1,1,35800000,Villa,9,Unfurnished,Resale,1,40,1,Hospital Nearby
Amravati,624,5,2,14600000,Penthouse,7,Furnished,Resale,21,25,2,School Nearby
Aurangabad,4142,5,1,3000000,Studio Apartment,8,Furnished,New Booking,21,34,0,Mall Nearby
Amravati,3953,5,2,32000000,Villa,9,Unfurnished,Resale,9,29,2,Hospital Nearby
Amravati,3213,4,2,34300000,Studio Apartment,17,Semi-furnished,New Booking,22,30,1,Park
Thane,403,5,4,15500000,Independent House,16,Semi-furnished,New Booking,29,32,0,Hospital Nearby
Thane,2208,1,3,36500000,Independent House,28,Unfurnished,Resale,23,24,3,Swimming Pool
Solapur,3549,1,4,48300000,Independent House,3,Semi-furnished,Resale,25,33,0,Hospital Nearby
Aurangabad,4272,4,3,2100000,Independent House,6,Semi-furnished,Resale,16,25,2,Mall Nearby
Pune,1551,3,2,35900000,Independent House,28,Unfurnished,New Booking,7,18,1,School Nearby
Nagpur,2927,3,1,47300000,Independent House,27,Furnished,New Booking,11,36,2,Mall Nearby
Aurangabad,1869,2,3,47500000,Apartment,22,Furnished,New Booking,18,34,0,School Nearby
Mumbai,4232,3,2,47500000,Apartment,20,Semi-furnished,Resale,26,33,0,Hospital Nearby
Mumbai,3070,5,3,1500000,Independent House,11,Semi-furnished,Resale,12,39,0,Mall Nearby
Kolhapur,3899,5,3,38100000,Studio Apartment,0,Furnished,Resale,13,34,2,Gym
Solapur,3176,3,3,10900000,Villa,0,Unfurnished,Resale,4,8,3,Park
Solapur,2046,2,1,10800000,Studio Apartment,12,Semi-furnished,Resale,27,36,2,Mall Nearby
Nagpur,1888,5,2,22100000,Independent House,6,Semi-furnished,Resale,22,22,1,Park
Pune,3884,4,4,35300000,Villa,17,Unfurnished,New Booking,20,38,1,Park
Thane,3611,4,3,17500000,Independent House,4,Semi-furnished,New Booking,2,12,1,School Nearby
Solapur,3874,3,1,36300000,Penthouse,27,Unfurnished,Resale,25,35,0,Park
Thane,2426,2,2,42300000,Villa,23,Unfurnished,New Booking,15,39,2,Swimming Pool
Nagpur,2433,4,1,41400000,Independent House,17,Unfurnished,New Booking,4,14,1,Swimming Pool
Thane,998,1,4,48100000,Penthouse,7,Semi-furnished,Resale,29,38,2,Hospital Nearby
Kolhapur,4839,2,1,41800000,Apartment,21,Unfurnished,New Booking,17,36,0,Mall Nearby
Amravati,2401,1,4,18000000,Apartment,4,Semi-furnished,Resale,25,26,0,School Nearby
Thane,635,2,4,13200000,Independent House,5,Semi-furnished,New Booking,29,40,0,Swimming Pool
Pune,3216,1,1,8600000,Apartment,30,Furnished,Resale,8,11,3,Hospital Nearby
Aurangabad,1392,4,3,38600000,Villa,26,Semi-furnished,New Booking,18,40,3,Hospital Nearby
Mumbai,4401,1,1,2900000,Penthouse,3,Semi-furnished,New Booking,8,10,3,Park
Nashik,4558,2,1,9000000,Apartment,14,Furnished,Resale,25,39,2,Park
Aurangabad,4537,1,1,40100000,Penthouse,19,Unfurnished,Resale,24,30,0,Park
Amravati,3794,5,2,32900000,Penthouse,15,Unfurnished,New Booking,5,19,0,Mall Nearby
Pune,2366,1,1,29800000,Studio Apartment,30,Semi-furnished,Resale,8,11,2,Mall Nearby
Thane,421,3,2,4100000,Independent House,22,Unfurnished,Resale,14,38,0,Hospital Nearby
Nagpur,526,2,4,47100000,Studio Apartment,14,Furnished,New Booking,9,17,3,Mall Nearby
Aurangabad,4858,2,1,24500000,Independent House,14,Furnished,Resale,23,33,0,School Nearby
Pune,301,4,2,41300000,Studio Apartment,1,Semi-furnished,Resale,26,34,1,Park
Aurangabad,2880,1,3,2100000,Villa,1,Semi-furnished,Resale,9,19,3,School Nearby
Nagpur,628,3,3,1200000,Apartment,14,Furnished,New Booking,4,39,2,Swimming Pool
Amravati,2111,2,3,45600000,Apartment,25,Semi-furnished,Resale,16,27,3,Mall Nearby
Mumbai,3635,4,1,12400000,Studio Apartment,25,Unfurnished,Resale,11,21,0,School Nearby
Thane,447,2,4,13200000,Apartment,11,Semi-furnished,New Booking,26,35,0,Hospital Nearby
Nashik,4383,3,1,15700000,Apartment,19,Unfurnished,Resale,12,21,2,Park
Sangli,4680,4,3,4800000,Villa,14,Semi-furnished,Resale,1,38,3,School Nearby
Amravati,1960,3,4,16600000,Independent House,26,Semi-furnished,Resale,28,40,0,Hospital Nearby
Nashik,3408,2,4,2600000,Apartment,6,Furnished,Resale,11,29,2,Park
Kolhapur,1194,4,1,47500000,Independent House,27,Unfurnished,New Booking,27,29,2,School Nearby
Mumbai,4010,3,2,49800000,Villa,7,Furnished,Resale,6,26,2,Mall Nearby
Pune,3615,3,4,40700000,Studio Apartment,25,Furnished,Resale,6,24,1,Hospital Nearby
Aurangabad,3182,4,4,47300000,Penthouse,27,Furnished,Resale,23,30,3,Gym
Kolhapur,3073,5,4,7400000,Studio Apartment,5,Unfurnished,New Booking,2,10,2,Gym
Amravati,589,2,4,43100000,Apartment,13,Unfurnished,New Booking,3,12,0,School Nearby
Thane,3159,5,1,27000000,Villa,25,Furnished,Resale,16,22,2,Mall Nearby
Solapur,4852,3,2,34200000,Apartment,28,Semi-furnished,New Booking,26,37,2,Park
Nashik,4067,2,1,36100000,Independent House,13,Unfurnished,Resale,4,13,3,Swimming Pool
Nashik,3247,5,2,43900000,Penthouse,20,Semi-furnished,Resale,21,23,0,School Nearby
Solapur,4241,1,1,23200000,Studio Apartment,25,Semi-furnished,New Booking,11,28,2,Park
Mumbai,452,2,2,47300000,Studio Apartment,17,Furnished,Resale,8,16,1,Hospital Nearby
Aurangabad,2640,4,4,12700000,Penthouse,14,Semi-furnished,New Booking,16,39,3,Hospital Nearby
Solapur,1626,1,3,42900000,Apartment,11,Semi-furnished,Resale,8,8,1,Hospital Nearby
Solapur,886,1,2,24400000,Studio Apartment,5,Semi-furnished,New Booking,26,30,0,Swimming Pool
